date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:27	149781/149781	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jan%202019%2012:38:02%20GMT	http://mythemestore.com/void/media/designer/portfolio/8.jpg	C:/My%20Web%20Sites/test6/mythemestore.com/void/media/designer/portfolio/8.jpg	(from http://mythemestore.com/void/designer.html)
17:27:28	17628/17628	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:35:48%20GMT	http://mythemestore.com/void/js/plugins/parallax.hover.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/plugins/parallax.hover.js	(from http://mythemestore.com/void/designer.html)
17:27:28	8958/8958	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:35:47%20GMT	http://mythemestore.com/void/js/plugins/jquery.parallax-scroll.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/plugins/jquery.parallax-scroll.js	(from http://mythemestore.com/void/designer.html)
17:27:28	4228/4228	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:35:44%20GMT	http://mythemestore.com/void/js/plugins/jquery.appear.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/plugins/jquery.appear.js	(from http://mythemestore.com/void/designer.html)
17:27:29	5564/5564	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:35:46%20GMT	http://mythemestore.com/void/js/plugins/jquery.easing.min.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/plugins/jquery.easing.min.js	(from http://mythemestore.com/void/designer.html)
17:27:29	612/612	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:35:48%20GMT	http://mythemestore.com/void/js/plugins/scrolling-nav.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/plugins/scrolling-nav.js	(from http://mythemestore.com/void/designer.html)
17:27:30	4197/4197	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jan%202019%2012:21:57%20GMT	http://mythemestore.com/void/js/void.js	C:/My%20Web%20Sites/test6/mythemestore.com/void/js/void.js	(from http://mythemestore.com/void/designer.html)
17:27:33	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2001%20Jan%202019%2012:21:43%20GMT	http://mythemestore.com/void/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/glyphicons-halflings-regular.eot	(from http://mythemestore.com/void/css/bootstrap.min.css)
17:27:33	18028/18028	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Jan%202019%2012:21:47%20GMT	http://mythemestore.com/void/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/glyphicons-halflings-regular.woff2	(from http://mythemestore.com/void/css/bootstrap.min.css)
17:27:37	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2001%20Jan%202019%2012:21:43%20GMT	http://mythemestore.com/void/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/glyphicons-halflings-regulard41d.eot	(from http://mythemestore.com/void/css/bootstrap.min.css)
17:27:37	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2001%20Jan%202019%2012:21:46%20GMT	http://mythemestore.com/void/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/glyphicons-halflings-regular.woff	(from http://mythemestore.com/void/css/bootstrap.min.css)
17:27:37	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/test6/www.google-analytics.com/analytics.js	(from http://mythemestore.com/void/designer.html)
17:27:39	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Jan%202019%2012:21:45%20GMT	http://mythemestore.com/void/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/glyphicons-halflings-regular.svg	(from http://mythemestore.com/void/css/bootstrap.min.css)
17:27:43	277979/277979	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jan%202019%2012:38:03%20GMT	http://mythemestore.com/void/media/designer/portfolio/9.jpg	C:/My%20Web%20Sites/test6/mythemestore.com/void/media/designer/portfolio/9.jpg	(from http://mythemestore.com/void/designer.html)
17:27:43	22698/22698	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2001%20Jan%202019%2012:21:29%20GMT	http://mythemestore.com/void/fonts/Ailerons.eot	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/Ailerons.eot	(from http://mythemestore.com/void/css/void-designer.css)
17:27:44	22698/22698	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2001%20Jan%202019%2012:21:29%20GMT	http://mythemestore.com/void/fonts/Ailerons.eot?	C:/My%20Web%20Sites/test6/mythemestore.com/void/fonts/Aileronsd41d.eot	(from http://mythemestore.com/void/css/void-designer.css)
